Armenia,1979,17,17,x,x,x,x,13.6,1.9,21.5,24,46.5,99,x
Armenia,1985,17,17,98.9697296,98.972424,24.78947368,56.34736842,15.52,2.2,21.32,24.12,47.1,104.5,7984
Armenia,1986,17,17,99,99,24.85789474,56.28947368,15.84,2.25,21.29,24.14,47.1,104.2666667,7786
Armenia,1987,17,17,99,99,24.92631579,56.23157895,16.16,2.3,21.26,24.16,47.2,104.0333333,7560
Armenia,1988,17,17,99,99,24.99473684,56.17368421,16.48,2.35,21.23,24.18,47.3,103.8,8159
Armenia,1989,17,17,99.90996264,99.90936706,25.06315789,56.11578947,16.8,2.4,21.2,24.2,47.5,104.9,8530
Armenia,1990,17,17,99.90593821,99.8962819,25.13157895,56.05789474,16.05833333,2.266666667,21.38333333,24.46666667,47.7,106.2,10018
Armenia,1991,17,17,99.90191377,99.88319674,25.2,56,15.31666667,2.133333333,21.56666667,24.73333333,47.5,107.1,11283
Armenia,1992,17,17,99.89788934,99.87011157,24.66666667,56.5,14.575,2,21.75,25,47.3,108,12447
Armenia,1993,17,17,99.8938649,99.85702641,24.13333333,57,13.83333333,1.866666667,21.93333333,25.26666667,47.1,108.9,11832
Armenia,1994,17,17,99.88984047,99.84394125,23.6,57.5,13.09166667,1.733333333,22.11666667,25.53333333,46.9,109.8,10637
Armenia,1995,17,17,99.88581603,99.83085609,23.06666667,58,12.35,1.6,22.3,25.8,46.8,110.7,8964
Armenia,1996,17,17,99.8817916,99.81777092,22.53333333,58.5,11.60833333,1.466666667,22.48333333,26.06666667,46.7,111.08,8694
Armenia,1997,17,17,99.87776716,99.80468576,22,59,10.86666667,1.333333333,22.66666667,26.33333333,46.5,111.46,7257
Armenia,1998,17,17,99.87374273,99.7916006,21.46666667,59.5,10.125,1.2,22.85,26.6,47,111.84,5917
Armenia,1999,17,17,99.86971829,99.77851543,20.93333333,60,9.383333333,1.066666667,23.03333333,26.86666667,47.3,112.22,5243
Armenia,2000,17,17,99.86569386,99.76543027,20.4,60.5,8.641666667,0.933333333,23.21666667,27.13333333,47.8,112.6,4937
Armenia,2001,17,17,99.86166942,99.75234511,20.14,59.02,7.9,0.8,23.4,27.4,48.2,108.3,x
Armenia,2002,17,17,99.85117848,99.7460506,19.88,57.54,7.7,0.6,23.375,27.275,48.7,108.1,4401
